,Name,Region,Type,Population,%0-9YO,%10-19YO,%20-29YO,%30-39YO,%40-49YO,%50-59YO,%60-69YO,%70-79YO,%80+YO,AreaKM2,PopDensity,Businesses,%BusinessGrowth,BusinessesPer1kCap,%Unemployment,UnemploymentChange,2019Wage,HousePrice,%HousePriceGrowth,HousePricePerWage,%OwnOutright,%OwnWithMort,%PrivateRent,%SocialHousing,%Heavy Industry & Manufacturing,%Wholesale & Retail,%Agriculture,%Hospitality,%Public Admin & Defence,%Transport,%Health & Social Work,%Support & Admin,%Education,%Sciences,%FS & ICT,%Other Industry,%NoQuals,%Level1,%Level2,%Level3,%Level4+,%White,%Mixed,%Asian,%Black,%NoReligion,%Christian,%Muslim,%Buddhist,%Hindu,%Jewish,%Sikh,%BornUK,%BornIreland,%BornOtherEU,%BornOtherEurope,%BornAfrica,%BornME,%BornSouthAsia,%BornSEAsia,%BornEastAsia,%BornNAmerica,%BornLatinAmerica,%BornAustralasia,MbpsSpeed,%UnableDecent,%Under10Mbps,LASpendGrowth15to19,%ChildcareGood,%FSM_GoodEarlyYears,%FSM_GoodPrimary,%FSM_GoodKS2,%FSM_GoodSecondary,%FSM_AttainmentScore,%FSM_Neet,%FSM_KS5Score,%FSM_2ALevels,%ProfessionalJobs,%JobsSubLivingWage,%FamiliesOwnHouse,PerPupilFunding,%13-19PerPupilGrowth,%5GoodGCSEs,Avg8Score,PupilProgress,%BadSchools,High Blood Pressure,Depression,Obesity,Diabetes,Asthma,DiseasesPerPop,%LeaveVote,%17Turnout,Winner_17,seat_types_17,seat_types_yg
E14000530,Aldershot,South East,Large Town,105601,0.13019999999999998,0.1087,0.1276,0.1527,0.1444,0.1368,0.0909,0.0701,0.0386,53.00199987254761,1992.3965181301785,3825,0.2259615384615385,36.221247904849385,0.017457089,-0.010668691,640,305000.0,0.6944444444444444,9.164663461538463,0.244856325,0.409404155,0.168005971,0.152655803,0.158,0.16,0.001,0.053,0.111,0.051,0.11,0.067,0.073,0.061,0.10100000000000002,0.056,0.185,0.218,0.188,0.142,0.267,0.8553338079999999,0.02134293,0.097736764,0.019293316,0.335212948,0.581416832,0.013818056,0.030657609,0.03225496,0.0006928269999999999,0.002030369,0.83155636,0.006678085,0.037085506,0.00358923,0.021843306,0.002039992,0.062662381,0.010122977,0.011989762,0.006735821,0.0023960279999999997,0.003300552,70.6,0.01342,0.1368,0.0454,0.885,0.5346,0.8282,0.467,0.2515,32.95,0.8718,29.53,0.2819,0.2894,0.1743,0.6345,4165.97,-0.07724731544813412,0.512,39.2,-0.43,0.29,0.13918,0.11416,0.1063,0.07112,0.05202,0.6933699999999999,0.579,0.6436847975854603,Con,con safe,con safe
E14000531,Aldridge-Brownhills,West Midlands,Small Town,77476,0.1087,0.109,0.1055,0.109,0.1258,0.1494,0.1143,0.1106,0.0677,44.0334938599304,1759.478824152576,2505,0.19570405727923634,32.33259331922144,0.03233277,-0.016719918,580,179995.0,0.19996666666666665,5.968003978779841,0.3889854170000001,0.366956252,0.082004344,0.145423518,0.25799999999999995,0.17600000000000002,0.001,0.039,0.053,0.049,0.118,0.042,0.108,0.045,0.055,0.057,0.295,0.18925,0.17125,0.12825,0.21625,0.931288487,0.015524723,0.040364279,0.009704576,0.258282017,0.7017434459999999,0.007223218000000002,0.001935719,0.007067321,0.000363759,0.020396498,0.961376569,0.005157586,0.008028685,0.00064957,0.004884767000000001,0.001026321,0.011796191,0.001688882,0.001909736,0.002702211,0.00029880259999999996,0.0004806818,50.0,0.00189,0.1791,0.0073,0.9792,0.5188,0.8324,0.4829,1.0,36.98,0.8819,18.09,0.2856,0.3013,0.2613,0.7639,4535.75,-0.08003675188018723,0.598,43.9,-0.23,0.18,0.17092000000000002,0.09785,0.13755,0.08061,0.0644,0.8419200000000001,0.6779999999999999,0.6679919818431821,Con,con safe,con safe
E14000532,Altrincham and Sale West,North West,Small Town,101861,0.1301,0.129,0.08449999999999999,0.12710000000000002,0.1502,0.138,0.1018,0.0833,0.056,50.926031282814506,2000.1754983482085,6460,0.4681818181818183,63.419758298072864,0.019401316,-0.006516134,790,315000.0,0.4318181818181819,7.6679649464459585,0.353514109,0.387290618,0.119331981,0.122611983,0.14800000000000002,0.14800000000000002,0.002,0.044,0.04,0.04,0.131,0.055,0.104,0.118,0.107,0.064,0.152,0.15125,0.16125,0.12325,0.41225,0.904338914,0.021306333,0.055895477,0.009762814,0.27199221500000004,0.652690209,0.031348676,0.003395762,0.012951517,0.022931743,0.002639998,0.905405265,0.013065398999999998,0.023211272,0.0029195270000000003,0.01020799,0.0063567,0.018355747,0.003478585,0.007588698999999998,0.005559524000000001,0.0012837640000000002,0.002567527,54.8,0.01122,0.159,0.0027,0.9401,0.537,0.9875,0.4524,0.9829,53.43,0.9158,34.27,0.4129,0.5069,0.2607,0.7719,4165.47,-0.04251313666266698,0.848,60.3,0.39,0.0,0.13145,0.11248,0.07017000000000001,0.05649,0.064,0.6768,0.386,0.7227214377406932,Con,con lab marginal,con safe
E14000533,Amber Valley,East Midlands,Small Town,90620,0.1063,0.1029,0.1134,0.1178,0.132,0.1481,0.1267,0.1016,0.0513,124.637738388637,727.0671080169542,2960,0.149514563106796,32.663871110130216,0.032759179,-0.015123491999999997,540,140000.0,0.21739130434782614,4.985754985754986,0.367575141,0.357106981,0.114673927,0.14354067,0.315,0.172,0.004,0.043,0.051,0.05,0.113,0.04,0.084,0.041,0.034,0.053,0.297,0.20625,0.16925,0.13025,0.19725,0.983887669,0.006599684000000001,0.006702093,0.002002663,0.38886929200000003,0.6001615779999999,0.001615785,0.001695436,0.00119477,0.0005234230000000001,0.001490618,0.973237145,0.002378162,0.012596293,0.000989953,0.002969857,0.000318605,0.001911633,0.001524755,0.0010013318,0.001866117,0.0002503331,0.0009558160000000001,28.5,0.01201,0.2383,-0.0892,0.9336,0.5411,0.639,0.3776,0.3364,33.67,0.8976,22.94,0.2099,0.2851,0.256,0.7075,4432.23,-0.03156852848443548,0.583,43.0,-0.15,0.24,0.1564,0.12362,0.13045,0.07367,0.0658,0.8282900000000001,0.653,0.6745023139645927,Con,con safe,con safe
E14000534,Arundel and South Downs,South East,Rural,101579,0.1016,0.1074,0.07339999999999999,0.0883,0.1259,0.157,0.1407,0.1286,0.07719999999999999,645.2209411121939,157.4328939555249,6120,0.16793893129770998,60.248673446283185,0.013747891000000002,-0.005103740999999998,630,390000.0,0.56,11.904761904761903,0.422556572,0.33714492100000004,0.112662494,0.10317766,0.16700000000000004,0.149,0.02,0.048,0.046,0.047,0.115,0.052000000000000005,0.103,0.08,0.08900000000000001,0.085,0.179,0.16975,0.18175,0.12975,0.33975,0.977484656,0.009993112,0.00934541,0.002148725,0.3299783070000001,0.6548366870000001,0.003053451,0.003135699,0.001449618,0.002344063,0.00042152,0.934222295,0.005541448,0.020017066,0.002169287,0.011792283,0.001634676,0.005315266,0.004420821,0.002765583,0.00640505,0.0017991710000000005,0.003917053,31.4,0.03632,0.2169,0.105,0.9381,0.4443,0.7973,0.2558,0.7393,36.22,0.8517,20.92,0.2923,0.3696,0.2313,0.7290000000000001,4244.29,-0.04776338402308189,0.6579999999999999,48.2,0.09,0.175,0.16109,0.0839,0.06821,0.06275,0.06081,0.69253,0.49700000000000005,0.7600845516998415,Con,con safe,con safe
E14000535,Ashfield,East Midlands,Small Town,107100,0.1196,0.1089,0.1162,0.1217,0.1272,0.1472,0.1164,0.0947,0.0481,107.72573516901501,994.1914049782694,2585,0.1263616557734204,24.136321195144724,0.038379821,-0.012176012,480,130000.0,0.2560386473429952,5.208333333333333,0.341734823,0.349153323,0.12563068800000002,0.165142265,0.29,0.193,0.003,0.045,0.047,0.059,0.133,0.042,0.075,0.035,0.031,0.047,0.32299999999999995,0.218,0.175,0.127,0.157,0.979571011,0.008036187,0.008291304000000001,0.002845536,0.405753871,0.5820691960000001,0.002982907,0.001864317,0.001648449,9.81219e-05,0.0016092,0.9697980659999998,0.002129246,0.015179465,0.0010695289999999998,0.00299272,0.000392488,0.003139902,0.001383519,0.0012952091900000002,0.001746571,0.00021586819,0.0006574170000000001,65.8,0.00561,0.1615,-0.0981,1.0,0.4305,0.8170000000000001,0.3715,0.8646,35.42,0.833,24.92,0.1915,0.1836,0.2417,0.6814,4516.78,-0.08068281503463126,0.569,42.3,-0.33,0.165,0.15725999999999998,0.12017,0.14617,0.07782,0.06277,0.8421200000000001,0.705,0.6411061017470158,Lab,con lab marginal,con lab marginal
E14000536,Ashford,South East,Large Town,123871,0.1315,0.1216,0.1083,0.1207,0.1343,0.1409,0.1045,0.08900000000000001,0.049100000000000005,503.65927571692316,245.94206038135295,5985,0.2693531283138919,48.31639366760582,0.032165505,0.0017812159999999989,610,268000.0,0.5314285714285714,8.448928121059268,0.312820849,0.36562029,0.145334994,0.147934552,0.205,0.172,0.016,0.052000000000000005,0.05,0.054000000000000006,0.126,0.055,0.086,0.06,0.064,0.06,0.213,0.2085,0.1905,0.1325,0.2555,0.934956614,0.014459005,0.035071719,0.012086063,0.34008323,0.6272799720000001,0.008933947,0.007030282,0.011324597,0.000982823,0.0008057380000000001,0.905471932,0.005285993,0.028997698,0.00328493,0.014503276,0.001903666,0.02168408,0.00465734,0.00532141,0.004462546,0.001478661,0.002948468,46.7,0.037000000000000005,0.2237,-0.0891,0.9359,0.5595,0.9102,0.4059,0.7407,42.77,0.8995,23.92,0.2225,0.2441,0.2303,0.6667,4186.6,-0.10277209262454046,0.611,44.9,-0.08,0.06,0.14579,0.12623,0.09008,0.06312000000000001,0.05732,0.71344,0.599,0.6867611887351666,Con,con safe,con safe
E14000537,Ashton-under-Lyne,North West,Small Town,92602,0.1307,0.1138,0.1286,0.1344,0.1246,0.1421,0.1025,0.0809,0.0425,27.8057256396804,3330.321287060804,2505,0.2249388753056234,27.051251592838174,0.05831997,-0.0030179159999999955,480,130000.0,0.30000000000000004,5.208333333333333,0.281956432,0.341759145,0.149635224,0.21154439,0.225,0.189,0.001,0.048,0.056,0.058,0.123,0.05,0.078,0.048,0.065,0.059,0.29600000000000004,0.221,0.185,0.131,0.16699999999999998,0.8735135490000001,0.016964325,0.095608063,0.011361125,0.25752619200000004,0.650424384,0.059358561,0.0026634540000000004,0.026689802,0.000419964,0.00033155,0.90757482,0.006376818,0.021771805,0.001735113,0.015461297999999997,0.0015914420000000002,0.035730074,0.003171831,0.0034702264,0.001823527,0.00045311839999999994,0.000839927,44.3,0.00093,0.21899999999999997,0.0088,0.9395,0.5183,0.8624,0.4009,0.3299,40.24,0.8434,24.08,0.3219,0.1846,0.2807,0.6443,4579.51,-0.06713857937300116,0.5489999999999999,41.3,-0.33,0.355,0.14872,0.13671,0.1039,0.07865,0.06333,0.76352,0.618,0.5889115465319029,Lab,lab safe,con lab marginal
E14000538,Aylesbury,South East,Large Town,123732,0.1405,0.1136,0.1181,0.1514,0.1405,0.133,0.0923,0.068,0.0425,185.468104907871,667.1335756703953,4905,0.23863636363636356,39.642129764329354,0.018496044,-0.0052732610000000004,620,308500.0,0.6675675675675676,9.568858560794043,0.292901127,0.402230742,0.151922853,0.132915069,0.166,0.163,0.006,0.043,0.087,0.047,0.127,0.05,0.08900000000000001,0.068,0.091,0.061,0.181,0.19375,0.17875,0.13375,0.31275,0.857942922,0.027363529,0.083932721,0.025549168,0.329001083,0.591231822,0.057504142,0.004193395999999999,0.011126848,0.0016569929999999998,0.001638479,0.8700787759999999,0.008044285,0.035639238,0.002860396,0.022873911,0.001860646,0.033213919,0.00875707,0.0036194657,0.008599701999999999,0.001777333,0.0026752570000000003,51.3,0.0135,0.1781,-0.04,0.9532,0.5743,0.9568,0.467,0.1765,43.81,0.8747,25.4,0.3222,0.3259,0.16,0.7090000000000001,4107.02,-0.008042856590794734,0.737,54.5,0.13,0.24,0.12575999999999998,0.10005,0.07667,0.06258,0.06412000000000001,0.6320800000000001,0.518,0.7136021127613694,Con,con safe,con safe
E14000539,Banbury,South East,Small Town,124450,0.12990000000000002,0.1173,0.1032,0.1442,0.13970000000000002,0.1402,0.1018,0.0784,0.0454,463.6442309928151,268.4170139106693,5790,0.16969696969696968,46.524708718360785,0.016551978999999998,-0.005227447000000003,620,299950.0,0.6803921568627451,9.303660049627792,0.28877551,0.388711735,0.17057823100000002,0.128443878,0.204,0.182,0.012,0.043,0.07,0.047,0.101,0.046,0.095,0.065,0.07200000000000001,0.061999999999999986,0.197,0.208,0.17600000000000002,0.132,0.287,0.924165593,0.017731158,0.041525337,0.013516722,0.325995523,0.634590598,0.02342955,0.003943084,0.003451258,0.001187165,0.003281663,0.888745676,0.006113899999999999,0.043450241,0.002823757,0.015110915,0.001500916,0.014890442,0.005910386,0.003663251800000001,0.012380436000000002,0.001746829,0.003663252,40.5,0.01323,0.1985,-0.0045,0.9489,0.5608,0.8343,0.3594,0.647,35.81,0.9021,25.18,0.2378,0.3346,0.193,0.6855,4283.54,-0.04937183894398822,0.625,44.2,-0.27,0.04,0.12184,0.11248,0.10687,0.05509,0.057470000000000014,0.6611400000000002,0.503,0.735791658713495,Con,con safe,con safe
